YYMMDDHHMI_KST,STN_ID,WD_16,WS_m/s,GST_WD,GST_WS,GST_TM,PA_hPa,PS_hPa,PT,PR_hPa,TA_C,TD_C,HM_%,PV_hPa,RN_mm,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS_GD,SS_C,SI_5,ST_10,TS_20,TE_30,TE_SEA,TE_m,TE,ST,WH,BF,IR,IX
202408020000,119,23,0.7,-9,-9.0,-9,1000.8,1005.3,1,0.7,27.7,25.1,86.0,31.9,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,7,7,6,StSc,0,0,5,1929,-9.0,-9.00,-9,28.0,29.4,29.5,29.1,28.5,-9,-9.0,-9,3,2
202408020100,119,32,1.1,-9,-9.0,-9,1000.5,1005.0,-9,-9.0,27.6,25.2,87.0,32.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,6,6,5,-,-9,-9,-9,3914,-9.0,-9.00,-9,28.1,29.2,29.3,29.1,28.6,-9,-9.0,-9,3,2
202408020200,119,16,1.7,-9,-9.0,-9,1000.0,1004.5,-9,-9.0,27.6,25.4,88.0,32.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,7,7,-9,-,-9,-9,-9,1284,-9.0,-9.00,-9,27.6,29.1,29.2,29.0,28.5,-9,-9.0,-9,3,2
202408020300,119,18,2.3,-9,-9.0,-9,1000.1,1004.6,5,-0.7,27.4,25.2,88.0,32.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,6,6,6,Sc,0,0,5,2459,-9.0,-9.00,-9,27.6,28.9,29.1,28.9,28.5,-9,-9.0,-9,3,2
202408020400,119,16,0.6,-9,-9.0,-9,1000.0,1004.5,-9,-9.0,27.2,25.2,89.0,32.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,4,3,6,ScCi,1,0,5,2510,-9.0,-9.00,-9,27.3,28.7,28.9,28.8,28.4,-9,-9.0,-9,3,2
202408020500,119,14,1.8,-9,-9.0,-9,1000.2,1004.7,-9,-9.0,27.0,25.2,90.0,32.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,7,6,8,ScCi,1,0,5,2000,-9.0,-9.00,-9,27.1,28.6,28.8,28.7,28.4,-9,-9.0,-9,3,2
202408020600,119,16,1.7,-9,-9.0,-9,999.8,1004.3,8,-0.3,26.7,25.1,91.0,31.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,6,3,6,ScCi,1,0,5,2035,0.0,0.01,-9,26.9,28.4,28.7,28.7,28.4,-9,-9.0,-9,3,2
202408020700,119,16,1.1,-9,-9.0,-9,1000.1,1004.6,-9,-9.0,27.9,25.1,85.0,31.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,6,3,5,ScCi,1,0,5,3176,0.4,0.33,-9,27.8,28.3,28.6,28.6,28.4,-9,-9.0,-9,3,2
202408020800,119,18,1.8,-9,-9.0,-9,1000.3,1004.8,-9,-9.0,28.1,25.1,84.0,31.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,7,4,5,ScCi,1,0,5,4123,0.2,0.46,-9,28.6,28.4,28.5,28.6,28.3,-9,-9.0,-9,3,2
202408020900,119,18,2.4,-9,-9.0,-9,1000.0,1004.4,0,0.1,29.3,25.0,78.0,31.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,9,5,Sc,0,0,5,4505,0.2,1.03,-9,31.5,28.7,28.5,28.5,28.3,-9,-9.0,-9,3,2
202408021000,119,25,3.0,-9,-9.0,-9,1000.4,1004.8,-9,-9.0,29.2,25.1,79.0,31.9,0.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,60,62,01,10,8,6,ScAs,-9,2,5,3817,0.1,0.86,-9,30.6,29.0,28.6,28.5,28.3,-9,-9.0,-9,4,1
202408021100,119,25,2.6,-9,-9.0,-9,1000.3,1004.7,-9,-9.0,29.7,25.6,79.0,32.8,0.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,21,62,01,6,6,6,Sc,0,0,5,3845,0.1,1.01,-9,33.3,29.2,28.7,28.4,28.2,-9,-9.0,-9,4,1
202408021200,119,25,2.8,-9,-9.0,-9,999.9,1004.3,8,-0.1,30.7,25.5,74.0,32.6,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,62,-,9,9,7,Sc,0,0,5,4658,0.1,1.38,-9,33.9,29.6,28.8,28.5,28.2,-9,-9.0,-9,3,1
202408021300,119,25,2.6,-9,-9.0,-9,999.6,1004.0,-9,-9.0,31.9,25.4,69.0,32.4,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,8,8,9,Sc,0,0,5,4357,0.2,1.81,-9,40.3,30.0,29.0,28.5,28.2,-9,-9.0,-9,3,2
202408021400,119,23,2.4,-9,-9.0,-9,999.2,1003.6,-9,-9.0,32.8,25.3,65.0,32.2,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,5,5,11,Sc,0,0,5,4977,0.7,2.65,-9,43.3,30.8,29.2,28.6,28.3,-9,-9.0,-9,3,2
202408021500,119,27,3.3,-9,-9.0,-9,999.2,1003.6,6,-0.7,33.0,25.7,66.0,33.0,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,7,7,8,Sc,0,0,5,5000,0.4,1.92,-9,42.7,31.2,29.6,28.7,28.3,-9,-9.0,-9,3,2
202408021600,119,29,3.4,-9,-9.0,-9,999.0,1003.4,-9,-9.0,31.9,26.2,72.0,34.0,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,5,5,6,Sc,0,0,5,3883,0.6,1.85,-9,41.2,31.4,29.8,28.8,28.3,-9,-9.0,-9,3,2
202408021700,119,25,3.0,-9,-9.0,-9,999.0,1003.4,-9,-9.0,32.1,26.6,73.0,34.8,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,3,3,6,Sc,0,0,5,3350,0.9,1.75,-9,39.3,31.5,30.1,29.0,28.4,-9,-9.0,-9,3,2
202408021800,119,27,2.4,-9,-9.0,-9,999.2,1003.6,4,0.0,30.7,26.4,78.0,34.4,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,6,2,6,ScAs,0,3,5,1788,0.6,0.81,-9,34.1,31.4,30.2,29.1,28.4,-9,-9.0,-9,3,2
202408021900,119,29,2.4,-9,-9.0,-9,999.9,1004.3,-9,-9.0,29.9,26.0,80.0,33.6,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,6,1,5,-,-9,-9,-9,2323,0.6,0.51,-9,32.4,31.1,30.3,29.2,28.5,-9,-9.0,-9,3,-9
202408022000,119,29,2.7,-9,-9.0,-9,1000.6,1005.0,-9,-9.0,28.8,26.0,85.0,33.6,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,3,3,3,-,-9,-9,-9,1420,0.0,0.02,-9,30.7,30.7,30.2,29.3,28.5,-9,-9.0,-9,3,-9
202408022100,119,29,2.1,-9,-9.0,-9,1001.1,1005.6,2,2.0,28.3,25.9,87.0,33.4,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,9,3,Sc,0,0,5,1028,-9.0,-9.00,-9,29.9,30.4,30.1,29.4,28.6,-9,-9.0,-9,3,2
202408022200,119,27,1.7,-9,-9.0,-9,1001.6,1006.1,-9,-9.0,28.1,26.1,89.0,33.8,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,19,0,0,-9,-,-9,-9,-9,845,-9.0,-9.00,-9,29.4,30.1,30.0,29.4,28.7,-9,-9.0,-9,3,2
202408022300,119,32,1.9,-9,-9.0,-9,1002.3,1006.8,-9,-9.0,28.0,26.0,89.0,33.6,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,19,6,6,3,-,-9,-9,-9,750,-9.0,-9.00,-9,29.1,29.9,29.8,29.4,28.7,-9,-9.0,-9,3,2
202408030000,119,27,1.8,-9,-9.0,-9,1002.4,1006.9,2,1.3,27.7,25.9,90.0,33.4,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,10,22,19,7,7,4,Sc,0,0,5,740,-9.0,-9.00,-9,28.4,29.7,29.7,29.3,28.7,-9,-9.0,-9,3,1
202408030100,119,27,1.3,-9,-9.0,-9,1002.3,1006.8,-9,-9.0,27.6,25.9,91.0,33.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,19,7,7,2,-,-9,-9,-9,587,-9.0,-9.00,-9,28.4,29.4,29.6,29.3,28.7,-9,-9.0,-9,3,2
202408030200,119,25,1.2,-9,-9.0,-9,1002.2,1006.7,-9,-9.0,27.2,25.4,90.0,32.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,19,7,3,23,-,-9,-9,-9,838,-9.0,-9.00,-9,27.7,29.3,29.4,29.2,28.7,-9,-9.0,-9,3,2
202408030300,119,32,0.6,-9,-9.0,-9,1002.2,1006.7,6,-0.2,26.7,25.2,92.0,32.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,11,19,4,4,4,Sc,0,0,5,844,-9.0,-9.00,-9,27.2,29.0,29.3,29.1,28.7,-9,-9.0,-9,3,1
202408030400,119,20,0.8,-9,-9.0,-9,1002.4,1006.9,-9,-9.0,26.3,24.8,92.0,31.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,11,19,5,5,8,Sc,0,0,5,875,-9.0,-9.00,-9,26.8,28.8,29.1,29.0,28.7,-9,-9.0,-9,3,1
202408030500,119,0,0.3,-9,-9.0,-9,1002.9,1007.4,-9,-9.0,26.2,24.9,93.0,31.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,22,19,8,8,10,Sc,0,0,5,687,-9.0,-9.00,-9,26.9,28.6,28.9,29.0,28.6,-9,-9.0,-9,3,1
202408030600,119,23,0.9,-9,-9.0,-9,1003.2,1007.7,2,1.0,26.2,24.7,92.0,31.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,22,19,6,6,15,Sc,0,0,5,740,0.0,0.01,-9,26.8,28.4,28.8,28.9,28.6,-9,-9.0,-9,3,1
202408030700,119,29,1.0,-9,-9.0,-9,1003.6,1008.1,-9,-9.0,26.9,24.3,86.0,30.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,19,2,0,-9,Ci,1,0,0,1400,0.1,0.23,-9,27.5,28.4,28.7,28.8,28.6,-9,-9.0,-9,3,2
202408030800,119,34,1.4,-9,-9.0,-9,1003.7,1008.2,-9,-9.0,28.3,24.3,79.0,30.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,1,1,22,Ac,0,3,0,2492,0.7,0.81,-9,30.4,28.5,28.6,28.8,28.6,-9,-9.0,-9,3,2
202408030900,119,29,1.3,-9,-9.0,-9,1003.8,1008.2,1,0.5,29.4,24.0,73.0,29.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,2,2,5,St,0,0,6,3512,0.9,1.54,-9,34.3,29.1,28.7,28.7,28.5,-9,-9.0,-9,3,2
202408031000,119,23,2.5,-9,-9.0,-9,1003.9,1008.3,-9,-9.0,29.8,24.6,74.0,30.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,8,8,7,Sc,0,0,5,3488,0.6,1.77,-9,35.2,29.8,28.8,28.6,28.5,-9,-9.0,-9,3,2
202408031100,119,25,1.5,-9,-9.0,-9,1003.7,1008.1,-9,-9.0,31.1,24.9,70.0,31.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,6,6,7,Sc,0,0,5,2475,0.7,2.51,-9,42.1,30.6,29.1,28.6,28.5,-9,-9.0,-9,3,2
202408031200,119,29,2.4,-9,-9.0,-9,1003.2,1007.6,8,-0.6,32.3,24.6,64.0,30.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,4,4,7,CuSc,0,0,8,4468,0.9,3.19,-9,47.3,31.7,29.4,28.7,28.5,-9,-9.0,-9,3,2
202408031300,119,32,2.3,-9,-9.0,-9,1002.9,1007.3,-9,-9.0,32.9,24.6,62.0,30.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,5,5,8,CuSc,0,0,8,4360,1.0,3.42,-9,49.7,32.8,29.9,28.8,28.5,-9,-9.0,-9,3,2
202408031400,119,29,2.1,-9,-9.0,-9,1002.6,1007.0,-9,-9.0,33.5,24.9,61.0,31.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,5,5,8,CuSc,0,0,8,4854,0.5,2.08,-9,46.7,33.1,30.5,29.0,28.5,-9,-9.0,-9,3,2
202408031500,119,25,3.0,-9,-9.0,-9,1002.5,1006.9,7,-0.7,34.0,24.8,59.0,31.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,4,4,8,CuSc,0,0,8,4802,1.0,2.98,-9,47.5,33.4,30.9,29.2,28.6,-9,-9.0,-9,3,2
202408031600,119,25,2.9,-9,-9.0,-9,1002.2,1006.6,-9,-9.0,33.4,24.2,59.0,30.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,3,3,8,CuSc,0,0,8,4976,1.0,2.34,-9,45.1,33.3,31.2,29.5,28.6,-9,-9.0,-9,3,2
202408031700,119,27,2.6,-9,-9.0,-9,1001.8,1006.2,-9,-9.0,33.4,24.8,61.0,31.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,1,1,10,Sc,0,0,5,4922,1.0,1.78,-9,42.0,33.1,31.3,29.7,28.8,-9,-9.0,-9,3,2
202408031800,119,29,2.3,-9,-9.0,-9,1001.9,1006.3,5,-0.6,32.6,24.6,63.0,30.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,5000,1.0,1.12,-9,37.2,32.8,31.4,29.9,28.9,-9,-9.0,-9,3,2
202408031900,119,25,2.2,-9,-9.0,-9,1002.3,1006.7,-9,-9.0,30.7,24.3,69.0,30.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,5000,1.0,0.49,-9,33.6,32.4,31.4,30.0,29.0,-9,-9.0,-9,3,-9
202408032000,119,25,1.8,-9,-9.0,-9,1003.1,1007.6,-9,-9.0,28.6,23.7,75.0,29.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,5000,0.0,0.04,-9,31.1,31.8,31.3,30.1,29.1,-9,-9.0,-9,3,-9
202408032100,119,25,1.3,-9,-9.0,-9,1003.6,1008.1,2,1.8,28.0,23.5,77.0,28.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,5000,-9.0,-9.00,-9,29.9,31.2,31.1,30.2,29.2,-9,-9.0,-9,3,2
202408032200,119,23,0.9,-9,-9.0,-9,1004.0,1008.5,-9,-9.0,27.5,23.5,79.0,28.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,5000,-9.0,-9.00,-9,29.0,30.8,30.8,30.1,29.3,-9,-9.0,-9,3,-9
